"Marcaj de timp","Vases were broken by the ...","Is the provided explanation useful?","Helen is observed by the ...","Is the provided explanation useful? ","Curtis is concealed by some ...","Is the provided explanation useful? ","A public park is biked to by the ...","Is the provided explanation useful? ","Malls are not talked about by some ...","Is the provided explanation useful? ","Teresa is attacked by some ...","Is the provided explanation useful? ","Bethany is not disliked by some ...","Is the provided explanation useful? ","Janice was not referenced by some ...","Is the provided explanation useful? ","Amelia loves this ...","Is the provided explanation useful? ","Derek would not bore this young ...","Is the provided explanation useful? ","Amelia has not visited this exposed ...","Is the provided explanation useful? ","A lot of cashiers discover that smart ...","Is the provided explanation useful? ","Tomatoes aggravate those ...","Is the provided explanation useful? ","William criticizes this ...","Is the provided explanation useful? ","Ruth argued about this exposed ...","Is the provided explanation useful? ","Timothy cannot leave those ...","Is the provided explanation useful? ","Angela ...","Is the provided explanation useful? ","The report about the Lutherans ...","Is the provided explanation useful? ","The pamphlets about Harvard University ...","Is the provided explanation useful? ","Paintings ...","Is the provided explanation useful? ","Amelia ...","Is the provided explanation useful? ","The brothers of Candice ...","Is the provided explanation useful? ","A movie about the Borgias ...","Is the provided explanation useful? ","The movie about the Borgias ...","Is the provided explanation useful? ","Even Kendra ...","Is the provided explanation useful? ","Even Lissa has ...","Is the provided explanation useful? ","Even Tonya could ...","Is the provided explanation useful? ","Even all waiters ...","Is the provided explanation useful? ","Even some icicles could ...","Is the provided explanation useful? ","Even Renee ...","Is the provided explanation useful? ","Even every unicycle ...","Is the provided explanation useful? ","Even most blouses have ...","Is the provided explanation useful? "
"2024/07/03 9:41:03 p.m. EEST","boy","Yes","doctor","Yes","paralysis","Yes","child","Yes","teenager","Yes","child","Yes","alumnus","Yes","alumnus","Yes","waiter","Yes","child","Yes","waiter","Yes","men","Yes","students","Yes","student","Yes","student","Yes","guys","Yes","likes","Yes","does","Yes","do","Yes","have","Yes","wears","Yes","have","Yes","has","Yes","has","Yes","really","Yes","clearly","Yes","also","Yes","certainly","Yes","often","Yes","often","Yes","clearly","Yes","often","Yes"
"2024/07/03 9:54:23 p.m. EEST","boy","Yes","doctor","Yes","teenager","No","child","Yes","dog","No","child","Yes","alumnus","No","alumnus","Yes","waiter","Yes","child","Yes","waiter","Yes","men","No","students","Yes","student","Yes","student","Yes","guys","Yes","likes","Yes","does","Yes","do","Yes","have","Yes","wears","Yes","have","Yes","has","Yes","has","Yes","really","No","clearly","Yes","also","Yes","certainly","Yes","often","Yes","often","Yes","clearly","Yes","often","Yes"
"2024/07/03 9:58:52 p.m. EEST","boy","Yes","doctor","Yes","teenager","Yes","child","Yes","dog","No","child","Yes","alumnus","Yes","alumnus","Yes","waiter","Yes","child","Yes","waiter","Yes","man","Yes","students","Yes","student","Yes","student","Yes","guys","Yes","likes","Yes","does","Yes","do","Yes","have","Yes","wears","Yes","have","Yes","has","Yes","has","Yes","really","Yes","clearly","No","also","No","certainly","No","often","No","often","No","clearly","No","often","No"
"2024/07/04 9:19:54 a.m. EEST","boy","Yes","doctor","Yes","teenager","No","child","No","teenager","No","cacti","Yes","fish","No","cars","No","waiter","Yes","child","Yes","waiter","Yes","men","No","students","Yes","students","No","students","No","guys","Yes","likes","Yes","do","No","do","Yes","have","Yes","wears","Yes","have","Yes","have","No","have","No","really","Yes","clearly","Yes","also","Yes","certainly","Yes","ever","No","often","Yes","ever","No","ever","Yes"
"2024/07/04 10:33:48 a.m. EEST","boy","Yes","doctor","Yes","teenager","Yes","child","Yes","teenager","Yes","child","Yes","alumnus","Yes","alumnus","Yes","waiter","Yes","child","Yes","waiter","Yes","men","No","students","Yes","student","Yes","student","Yes","guys","Yes","likes","Yes","do","Yes","do","Yes","have","Yes","wears","Yes","have","Yes","has","Yes","has","Yes","really","No","clearly","Yes","also","No","certainly","No","often","Yes","often","Yes","clearly","No","often","Yes"
"2024/07/04 1:08:08 p.m. EEST","boy","Yes","doctor","Yes","teenager","Yes","child","Yes","teenager","Yes","child","Yes","alumnus","Yes","alumnus","Yes","waiter","Yes","child","Yes","waiter","Yes","men","Yes","students","Yes","student","Yes","student","Yes","guys","Yes","likes","Yes","does","Yes","does","Yes","have","Yes","wears","Yes","have","Yes","has","Yes","has","Yes","really","Yes","clearly","No","also","Yes","certainly","Yes","often","No","ever","No","clearly","Yes","often","Yes"
"2024/07/04 1:22:18 p.m. EEST","boy","Yes","doctor","Yes","teenager","Yes","child","Yes","teenager","No","child","No","alumnus","Yes","alumnus","Yes","waiter","Yes","child","Yes","waiter","Yes","man","Yes","students","Yes","student","Yes","student","Yes","guys","Yes","likes","No","does","No","does","No","have","Yes","wears","No","have","Yes","has","No","has","No","really","No","clearly","Yes","also","Yes","certainly","No","often","No","often","No","clearly","No","often","No"
"2024/07/04 1:27:47 p.m. EEST","boy","Yes","doctor","Yes","teenager","Yes","child","Yes","teenager","Yes","child","Yes","alumnus","Yes","alumnus","Yes","waiter","Yes","child","Yes","waiter","Yes","men","No","students","Yes","student","Yes","student","Yes","guys","Yes","likes","Yes","does","No","do","Yes","have","Yes","wears","Yes","have","Yes","has","Yes","has","Yes","really","No","clearly","Yes","also","Yes","certainly","Yes","often","Yes","often","Yes","clearly","Yes","often","Yes"
"2024/07/04 1:32:42 p.m. EEST","boy","Yes","doctor","Yes","teenager","Yes","child","Yes","teenager","Yes","child","Yes","fish","Yes","alumnus","Yes","waiters","Yes","child","Yes","waiters","Yes","man","Yes","student","Yes","students","Yes","students","Yes","guy","Yes","like","Yes","does","Yes","does","Yes","has","Yes","wear","Yes","has","Yes","has","Yes","have","Yes","really","Yes","clearly","Yes","also","Yes","certainly","Yes","often","Yes","often","Yes","clearly","Yes","often","Yes"
"2024/07/04 2:27:29 p.m. EEST","boy","Yes","doctor","Yes","teenager","Yes","child","Yes","teenager","Yes","child","Yes","fish","No","cars","No","waiter","Yes","children","No","waiter","Yes","man","Yes","students","Yes","student","Yes","student","Yes","guys","Yes","likes","Yes","does","Yes","do","Yes","have","Yes","wears","Yes","have","Yes","has","Yes","has","Yes","really","No","clearly","No","also","Yes","certainly","Yes","often","Yes","often","Yes","clearly","Yes","often","Yes"
